"id","nama","alamat","desa","kecamatan"
"1650","KB KARTINI","DUKUH BOTO PUTIH","TLOGOHAJI","KEC. SUMBERREJO"
"1651","KB AISYIYAH I","KOMPLEK MASJID AT-TAQWA SUMBERREJO","SUMBERREJO","KEC. SUMBERREJO"
"1652","KB. TUNAS BANGSA","JL. KEDUNG PRIMPEN","KAYULEMAH","KEC. SUMBERREJO"
"1653","KB. RADEN MAS","JL. PANGLIMA SUDIRMAN NO. 118","MEJUWET","KEC. SUMBERREJO"
"1654","KB STROBERRY","DUSUN NGLAJER","KARANG DINOYO","KEC. SUMBERREJO"
"1655","KB.HARAPAN BUNDA ","JL.RONGGOLAWE","JATIGEDE","KEC. SUMBERREJO"
"1656","KB ANAK KREATIF","JLN RAYA NO 138 TALUN SUMBERREJO BOJONEGORO","TALUN","KEC. SUMBERREJO"
"1657","KB MUTIARA BUNDA","RAYA KEDUNGADEM NO. 77","BANJARJO","KEC. SUMBERREJO"
"1658","KB AMANAH","DHARMA BAKTI NO.114","DERU","KEC. SUMBERREJO"
"1659","KB NURUS SOLIHAH","JLN. SUMURGEDE RT 06 RW 02 DUSUN KARON","KARANGDOWO","KEC. SUMBERREJO"
"1660","KB PKK","DESA KEDUNGREJO","KEDUNGREJO","KEC. SUMBERREJO"
"1661","KB MANDIRI SA ADAH","RT 12 RW 03","KARANGDOWO","KEC. SUMBERREJO"
"1662","KB. CAHAYA HATI","RT. 22 RW. 07. DK. POHKUWUNG","SUMBERHARJO","KEC. SUMBERREJO"
"1663","KB PKK PEJAMBON II","AT-TAQWA NO. 12","PEJAMBON","KEC. SUMBERREJO"
"1664","KB KASIH IBU SUMBERREJO","JALAN RAYA SUMBERREJO","SUMBERREJO","KEC. SUMBERREJO"
"1665","KB. DARUL HASAN","JL. RINGIN KEMBAR NO. 230","BUTOH","KEC. SUMBERREJO"
"1666","KB. ISLAMIYAH","MASJID NO. 304","BUTOH","KEC. SUMBERREJO"
"1667","KB TUNAS HARAPAN","DS. TLOGOHAJI","TLOGOHAJI","KEC. SUMBERREJO"
"1668","KB MELATI","JL. LUMPANG KENTENG NO. 122 MLINJENG","MLINJENG","KEC. SUMBERREJO"
"1669","KB MAWAR II","DESA PEKUWON","PEKUWON","KEC. SUMBERREJO"
"1670","KB PERMATA BUNDA","DUSUN NGAPUS","SUMBERHARJO","KEC. SUMBERREJO"
"1671","KB RAUDHATUL JANNAH","JL. H. THOHIR NO. 513 - 514","MLINJENG","KEC. SUMBERREJO"
"1672","KB. AS-SHIBYAN","JL. SUPRIYADI NO. 247 DUSUN NGLANDEAN RT. 008 RW. ","MARGOAGUNG","KEC. SUMBERREJO"
"1673","KB MAWAR","DESA PEKUWON","PEKUWON","KEC. SUMBERREJO"
"1674","KB ISLAM TERPADU PERMATA HATI","RT 07 RW 02 DS. SUMURAGUNG","SUMURAGUNG","KEC. SUMBERREJO"
"1675","KB. NURUL QUR AN","RT 01 RW 01 DUSUN KARUNG","TULUNGREJO","KEC. SUMBERREJO"
"1676","KB PKK PEJAMBON 1","RT : 16 RW ; 02 DK : TANGGUNGAN","PEJAMBON","KEC. SUMBERREJO"
"1677","KB INKLUSI AISYIYAH","KOMPLEK MASJID AT TAQWA","SUMBERREJO","KEC. SUMBERREJO"
"1678","KB THORIQUL HUDA","DUKUH MLANGI","JATIGEDE","KEC. SUMBERREJO"
"1679","KB WALI SONGO","MASJID JAMI`","SUMURAGUNG","KEC. SUMBERREJO"
"1680","KB TAPAS SAHLANIYAH","JL. KH. SHOLEH NO. 114 KEDUNGREJO","KEDUNGREJO","KEC. SUMBERREJO"
"1681","KB. HARAPAN BUNDA","KH. WAKHID HASYIM RT. 02/RW. 04","PRAYUNGAN","KEC. SUMBERREJO"
"1682","KB ALFIRDAUS","JALAN RESOPRAWIRO","NGAMPAL","KEC. SUMBERREJO"
"1683","KB. TUNAS HARAPAN","JL. CAKRANINGRAT RT. 03","SAMBONGREJO","KEC. SUMBERREJO"
"1684","KB MARDISIWI","DESA SUMBERREJO","SUMBERREJO","KEC. SUMBERREJO"
"1685","KB. HARAPAN BANGSA","JL. DIPONEGORO RT.03 RW.02","PRAYUNGAN","KEC. SUMBERREJO"
"1686","KB TUNAS BANGSA BOGANGIN","RT 05 RW 01","BOGANGIN","KEC. SUMBERREJO"
"1687","KB PURNAMA","JL SUBUR","TELENG","KEC. SUMBERREJO"
"1688","KB BINTANG KEJORA","DESA WOTAN, RT.4, RW.2, SUMBERREJO BOJONEGORO","WOTAN","KEC. SUMBERREJO"
"1689","KB AISYIYAH III","JL. KAKI DHERMO","PEKUWON","KEC. SUMBERREJO"
"1690","KB ANANDA","DS. NGAMPAL","NGAMPAL","KEC. SUMBERREJO"
"1691","KB TUNAS ROBBANI","JL. RAYA TALUN NO 220","TALUN","KEC. SUMBERREJO"
"1692","KB DARUSSALAM KIDS","JL. PUK NO.231","DERU","KEC. SUMBERREJO"
"1693","KB. MELATI","JALAN RA. KARTINI KARANG DINOYO","KARANG DINOYO","KEC. SUMBERREJO"
"1694","KB BAITI JANNATI","DUSUN NGGOWOK","SUMBERHARJO","KEC. SUMBERREJO"
"1695","KB MUTIARA HATI","SENDANG AGUNG","SENDANGAGUNG","KEC. SUMBERREJO"
"1696","KB BUDI UTAMA","RT52 RW11 DUSUN TAWARAN DESA NAPIS","NAPIS","KEC. TAMBAKREJO"
"1697","KB MEKAR SARI","DESA DOLOKGEDE","DOLOK GEDE","KEC. TAMBAKREJO"
"1698","KB MARSUDI SIWI","JL.JAWA NO.78 DESA JAWIK","GAMONGAN","KEC. TAMBAKREJO"
"1699","KB TUNAS HARAPAN","DESA SENDANGREJO","SENDANGREJO","KEC. TAMBAKREJO"
"1700","KB NGUDI LUHUR","RT. 08 RW. 02 DESA NGRANCANG","NGRANCANG","KEC. TAMBAKREJO"
"1701","KB AN-NUR","JL. RAYA TNGGANG TAJI","PENGKOL","KEC. TAMBAKREJO"
"1702","KB QUROTAL A YUN","DESA KACANGAN","KACANGAN","KEC. TAMBAKREJO"
"1703","KB DHARMA PERTIWI","DESA TURI","TURI","KEC. TAMBAKREJO"
"1704","KB MARSUDI SIWI","DESA GAMONGAN","JAWIK","KEC. TAMBAKREJO"
"1705","KB EDELWEIS","DUSUN JAGIRAN DESA TURI","TURI","KEC. TAMBAKREJO"
"1706","KELOMPOK BERMAIN MARSUDI LESTARI","DUSUN TEGARON DS. GAMONGAN","GAMONGAN","KEC. TAMBAKREJO"
"1707","KB KUSUMA BANGSA","KAPURSARI","KALISUMBER","KEC. TAMBAKREJO"
"1708","KB AL MURSYID","DESA MULYOREJO","MULYOREJO","KEC. TAMBAKREJO"
"1709","KB KASIH IBU","RT 016 RW 003 DUSUN DOPLANG DESA NAPIS","NAPIS","KEC. TAMBAKREJO"
"1710","KB SEKAR TANJUNG","JL. RAYA JAWIK NO. 1","TANJUNG","KEC. TAMBAKREJO"
"1711","KB AL MUHTAROM","JL.SEJAHTERA NO 253","PANDANTOYO","KEC. TEMAYANG"
"1712","KELOMPOK BERMAIN ANAK SHOLEH","DS. KEDUNGSARI","KEDUNGSARI","KEC. TEMAYANG"
"1713","KB MENTARI PAGI","DK. NGUNCARAN","JONO","KEC. TEMAYANG"
"1714","KB. SETIYA BUDI","JL. PAHLAWAN","TEMAYANG","KEC. TEMAYANG"
"1715","KB PERMATA BUNDA","JL. RAYA KEDUNGSARI NO 347","SOKO","KEC. TEMAYANG"
"1716","KB PUTRA BANGSA","DS.KRICAK","KEDUNGSARI","KEC. TEMAYANG"
"1717","KB LESTARI","SUGIHAN","KEDUNGSUMBER","KEC. TEMAYANG"
"1718","KB TUNAS BHAKTI","KEDUNGSUMBER","KEDUNGSUMBER","KEC. TEMAYANG"
"1719","KB CAHAYA HATI","JALAN RAYA PEREMPATAN JONO","JONO","KEC. TEMAYANG"
"1720","KB. NURUL HUDA","JL. PAHLAWAN NO. 270","TEMAYANG","KEC. TEMAYANG"
"1721","KB MUTIARA HATI","DESA PANCUR KEC TEMAYANG","PANCUR","KEC. TEMAYANG"
"1722","KB GENESIA CERIA","RT,01 RW.01","NGUJUNG","KEC. TEMAYANG"
"1723","KB PELANGI","JALAN RAYA MASJID NO 90","BUNTALAN","KEC. TEMAYANG"
"1724","KB PUTRA BHAKTI II","LETNAN SUCIPTO RT 03 RW 01","BANJARSARI","KEC. TRUCUK"
"1725","KB MAMBA`UL ULUM","JLN. TAMBANGAN RT 14 RW 02","KANDANGAN","KEC. TRUCUK"
"1726","KB HARAPAN BANGSA","KH. MASDAR NO. 56  RT 30  RW 05","BANJARSARI","KEC. TRUCUK"
"1727","KB BUNGA BANGSA","JLN. RAYA SUMBEREJO NO. 10","SUMBERREJO","KEC. TRUCUK"
"1728","KB.FALAHIYAH","JL. TAMBANGAN III NO. 336  RT 08 RW 02","KANDANGAN","KEC. TRUCUK"
"1729","KB  MATAHARI","RT.11 RW.02","TRUCUK","KEC. TRUCUK"
"1730","KB  AN-NUUR","DUSUN KEDUNG RT 18  RW  02","TRUCUK","KEC. TRUCUK"
"1731","KB NURUL HUDA","JLN. TAMBANGAN III RT. 08 RW. 02","TULUNGREJO","KEC. TRUCUK"
"1732","KB AL - GHONIM","JL. MASJID NO. 01 RT 04 RW 01","GUYANGAN","KEC. TRUCUK"
"1733","KB MELATI","RT 07  RW 02","PAGERWESI","KEC. TRUCUK"
"1734","KB ATTARBIYAH","JL. DIPONEGORO RT 09/03","SUMBANG TIMUN","KEC. TRUCUK"
"1735","KB PERMATA BUNDA","RT  11  RW  02","PADANG","KEC. TRUCUK"
"1736","KB  NURUL QOMAR","RT 09  RW 03","MORI","KEC. TRUCUK"
"1737","KB AL FALAHIYAH","JLN. MASWIJI NO.134 RT 35 RW 06","BANJARSARI","KEC. TRUCUK"
"1738","KB NURUL UMMAH","RT 02 RW 01","MORI","KEC. TRUCUK"
"1739","KB  DELIMA","RT:10/ RW:02 DESA KANTEN KEC. TRUCUK KAB. BOJONEGO","KANTEN","KEC. TRUCUK"
"1740","KB TUNAS CEMPAKA","DS. SRANAK","SRANAK","KEC. TRUCUK"
"1741","TPA IT PERMATA HATI","JL. PANGLIMA SUDIRMAN GG. IRIGASI NO.19","KLANGON","KEC. BOJONEGORO"
"1742","TPA ANANDA","JL. HOS COKROAMINOTO RT.03 RW.01 JETAK","SUMBANG","KEC. BOJONEGORO"
"1743","TPA AISYIYAH","JL. ADE IRMA SURYANI NO. 10 KLANGON","KLANGON","KEC. BOJONEGORO"
"1744","TPA AISYIYAH","DR.SUTOMO NO 59","KEPATIHAN","KEC. BOJONEGORO"
"1745","TPA INOVATIF DINAR NASYIAH","JL. KOLONEL SUGIONO GG. CUCAK ROWO","SUMBANG","KEC. BOJONEGORO"
"1746","TPA NURUL ULUM","JL. GAJAH MADA NO. 16","SUKOREJO","KEC. BOJONEGORO"
"1747","TPA RUMAH CERDAS PELANGI","JL.BASUKI RAHMAT GG.MA RUF NO.21 MOJOKAMPUNG","MOJO KAMPUNG","KEC. BOJONEGORO"
"1748","TPA AISYIYAH","KOMPLEK MASJID AT TAQWA ","SUMBERREJO","KEC. SUMBERREJO"
"1749","TPA ATTANWIR KIDS CENTER","JLN RAYA TALUN NO 220","TALUN","KEC. SUMBERREJO"
"1750","POS PAUD BINA TARUNA","KALIMOSODO","PENGANTEN","KEC. BALEN"
"1751","POS PAUD ASSAKINAH","DESA SARIREJO","PRAMBATAN","KEC. BALEN"
"1752","TAMAN POSYANDU MELATI","JL. ACHMAD YANI NO 132 SUWALOH","SUWALOH","KEC. BALEN"
"1753","POS PAUD ASTER 2","DUSUN MUNDU RT 09 RW 03","PENGANTEN","KEC. BALEN"
"1754","POS PAUD MELATI","GG. WIJAYA KUSUMA","NGADILUHUR","KEC. BALEN"
"1755","POS PAUD HARAPAN BUNDA","DUKUH TARABAN","MULYOREJO","KEC. BALEN"
"1756","PP.MELATI","JL.MERAPI NO.41","BULAKLO","KEC. BALEN"
"1757","POS PAUD PERMATA BUNDA","JL. AHMAD YANI NO. 01 DESA MULYOAGUNG","MULYOAGUNG","KEC. BALEN"
"1758","TAMAN POSYANDU TERATAI","DUKUH KALIGEDE RT 03 RW 01","PILANG GEDE","KEC. BALEN"
"1759","TAMAN POSYANDU MELATI","DS. KENEP RT.01 RW.01","KENEP","KEC. BALEN"
"1760","POS PAUD LEILY 2","JL JENDERAL AHMAD YANI RT 08 RW 03","KEMAMANG","KEC. BALEN"
"1761","TP. DAHLIA","JL. JOGOLEKSONO NO. 151","SIDOBANDUNG","KEC. BALEN"
"1762","POS PAUD BINA TARUNA II","DUSUN MAMPIL DESA PENGANTEN","PENGANTEN","KEC. BALEN"
"1763","POS PAUD GADING I","JL. JAMBU","KABUNAN","KEC. BALEN"
"1764","POS PAUD GADING II","DS. KABUNAN","KABUNAN","KEC. BALEN"
"1765","POS PAUD BOUGENFILE","RT 11 RW 4 DESA MULYOAGUNG","MULYOAGUNG","KEC. BALEN"
"1766","POS PAUD AL FAJAR","JL. AHMAD YANI O1 RT 06/01","MAYANGKAWIS","KEC. BALEN"
"1767","TAMAN POSYANDU LEILY","JALAN RAYA SUGIHWARAS KM 2","KEMAMANG","KEC. BALEN"
"1768","POS PAUD MELATI","JL. SANGIN","SIDOBANDUNG","KEC. BALEN"
"1769","POS PAUD MENTARI","JL CEMPAKA NO 168","NGADILUHUR","KEC. BALEN"
"1770","TP ANGGREK","BALAI DESA","BULU","KEC. BALEN"
"1771","TAMAN POSYANDU KAMBOJA","JL.R.NURHADI","KEDUNGBONDO","KEC. BALEN"
"1772","POS PAUD PERMATA HATI","JL. MASJID NO. 336","BALENREJO","KEC. BALEN"
"1773","PP PRIMA SENTOSA","MOJODADI 94","SOBONTORO","KEC. BALEN"
"1774","POS PAUD TUNAS MULYA III","DESA MARGOMULYO","MARGOMULYO","KEC. BALEN"
"1775","TAMAN POSYANDU ASOKA","JL.BALAI DESA BALEN SUGIHWARAS","MAYANGKAWIS","KEC. BALEN"
"1776","POS PAUD CERIA","JL. BASUKI RAHMAT","POH BOGO","KEC. BALEN"
"1777","TP MAWAR","JL.H.MAHMUD NO.07 RT. 01 RW. 01","LENGKONG","KEC. BALEN"
"1778","POS PAUD MELATI","JL. MASJID RT. 024 RW.05","SARIREJO","KEC. BALEN"
"1779","PP TUNAS MULYA","JL. RAYA NO.66 MARGOMULYO","MARGOMULYO","KEC. BALEN"
"1780","POS PAUD MUTIARA HATI","JL.MANGGIS NO 366","KABUNAN","KEC. BALEN"
"1781","POS PAUD MELATI","DS. SARIREJO","SOBONTORO","KEC. BALEN"
"1782","POS PAUD TUNAS MULYA 2","DESA MARGOMULYO","MARGOMULYO","KEC. BALEN"
"1783","POS PAUD MEKAR SEJATI","JLN. PUK","BALENREJO","KEC. BALEN"
"1784","TAMAN POSYANDU ASTER","JL JENDRAL SUDERMAN NO 137","PRAMBATAN","KEC. BALEN"
"1785","POS PAUD KARUNIA II","KEDUNGDOWO RT.07 RW. 03","KEDUNGDOWO","KEC. BALEN"
"1786","POS PAUD KENANGA","DSN BAREK RT 07 RW 01","NGADILUHUR","KEC. BALEN"
"1787","POS PAUD BUGENFIL","RT.12 RW. 6 DS. TROJALU","TROJALU","KEC. BAURENO"
"1788","POS PAUD SAQINA","BLONGSONG","BLONGSONG","KEC. BAURENO"
"1789","POS PAUD AISYIYAH II","JL. RA KARTINI RT 08 RW 02","DRAJAT","KEC. BAURENO"
"1790","POS PAUD ANGGREK","DS. SEMBUNGLOR RT. 01 RW. 01","SEMBUNGLOR","KEC. BAURENO"
"1791","POS PAUD AT THOYYIBAH","BANJARAN","BANJARAN","KEC. BAURENO"
"1792","POS PAUD BUNGA BANGSA","JL. MOJO SIJI DSN. BAKALAN RT 01 RW 09","SRATUREJO","KEC. BAURENO"
"1793","POS PAUD BUNGA BANGSA","RT.11 RW. 05 DESA POMAHAN KECAMATAN BAURENO","POMAHAN","KEC. BAURENO"
"1794","POS PAUD MAWAR","DESA TLOGOAGUNG","TLOGOAGUNG","KEC. BAURENO"
"1795","POS PAUD KAMBOJA","JL PENDIDIKAN NO 246","SELOREJO","KEC. BAURENO"
"1796","POS PAUD GAJAH","RT 02 RW 05","GAJAH","KEC. BAURENO"
"1797","POS PAUD ANGGREK I","JL. RAYA BAURENO BOJONEGORO","TROJALU","KEC. BAURENO"
"1798","POS PAUD MELATI","KAUMAN","KAUMAN","KEC. BAURENO"
"1799","POS PAUD MELATI II","MANDEK","KADUNGREJO","KEC. BAURENO"
"1800","POS PAUD BUNGA KAMULYAN","TANGGUNGAN","TANGGUNGAN","KEC. BAURENO"
"1801","POS PAUD PUTRA BANGSA","DSN. NGRAKAS RT 01 RW 08","SRATUREJO","KEC. BAURENO"
"1802","POS PAUD KASIH BUNDA","JL. RAYA NGEMPLAK RT 07 RW 03","NGEMPLAK","KEC. BAURENO"
"1803","PP AL IRSYAD","RANDAP","PUCANGARUM","KEC. BAURENO"
"1804","POS PAUD MELATI","LEBAKSARI MRANTEN","LEBAKSARI","KEC. BAURENO"
"1805","POS PAUD MERPATI","KARANGDAYU","KARANGDAYU","KEC. BAURENO"
"1806","POS PAUD BERLIAN","BAURENO","BAURENO","KEC. BAURENO"
"1807","POS PAUD PERMATA HATI","SUMURAGUNG","SUMURAGUNG","KEC. BAURENO"
"1808","POS PAUD MAWAR NGGOWOK","LEBAKSARI DSN. NGGOWOK RT. 11 / RW.05","LEBAKSARI","KEC. BAURENO"
"1809","POS PAUD TUNAS HARAPAN","DESA KALISARI","KALISARI","KEC. BAURENO"
"1810","POS PAUD KARAN","RT 21 RW 05","GUNUNGSARI","KEC. BAURENO"
"1811","POS PAUD AMANAH","KADUNGREJO","KADUNGREJO","KEC. BAURENO"
"1812","POS PAUD PRAJAMUKTI","BUMIAYU","BUMIAYU","KEC. BAURENO"
"1813","POS PAUD AISYIYAH I","DSN. MANTUP RT 15 RW 05 ","DRAJAT","KEC. BAURENO"
"1814","POS PAUD HARAPAN BUNDA","DUSUN BUTOH DESA TULUNGAGUNG ","TULUNGAGUNG","KEC. BAURENO"
"1815","POS PAUD RAJAWALI","JL. RAYA KANOR","PASINAN","KEC. BAURENO"
"1816","POS PAUD AL HIDAYAH","BANJARAN","BANJARAN","KEC. BAURENO"
"1817","POS PAUD BERINGIN","JL. DR. SUTOMO NO. 68","KEPATIHAN","KEC. BOJONEGORO"
"1818","POS PAUD NGESTI WANITO","JL. MH THAMRIN NO. 67","LEDOK WETAN","KEC. BOJONEGORO"
"1819","POS PAUD KAMBOJA","JL. RAYA KALIREJO NO. 66","KALIREJO","KEC. BOJONEGORO"
"1820","POS PAUD AT TAQWA","JL. BASUKI RAHMAT GG. MASJID KELURAHAN  MOJOKAMPUN","MOJO KAMPUNG","KEC. BOJONEGORO"
"1821","POS PAUD NUSA INDAH","LETTU SUYITNO","MULYOAGUNG","KEC. BOJONEGORO"
"1822","POS PAUD MAWAR III","KELURAHAN NGROWO ","NGROWO","KEC. BOJONEGORO"
"1823","POS PAUD SUNAN KALIJOGO","SUNAN KALIJOGO, SUKOREJO BOJONEGORO","SUKOREJO","KEC. BOJONEGORO"
"1824","POS PAUD WIJAYA KUSUMA","JL.SERMA KUSMAN GG.BALAI","BANJAREJO","KEC. BOJONEGORO"
"1825","POS PAUD PURING II","DESA CAMPUREJO KEC BOJONEGORO","CAMPURJO","KEC. BOJONEGORO"
"1826","POS PAUD TULIP","PATTIMURA 32","SUMBANG","KEC. BOJONEGORO"
"1827","TAAM NURUL IMAN","KELURAHAN KARANGPACAR KEC BOJONEGORO","KARANG PACAR","KEC. BOJONEGORO"
"1828","POS PAUD GADING","JL.SERSAN MULYONO NO.131","KLANGON","KEC. BOJONEGORO"
"1829","POS PAUD MAWAR","DESA NGROWO KEC BOJONEGORO","NGROWO","KEC. BOJONEGORO"
"1830","POS PAUD ANGGREK 1","JL. BASUKI RAHMAD NO. 46","MOJO KAMPUNG","KEC. BOJONEGORO"
"1831","POS PAUD LESTARI","JL. RAYA SEMANDING","SEMANDING","KEC. BOJONEGORO"
"1832","PP.MAWAR","JL. LEDTA SURADJI NO. 188 A","LEDOK KULON","KEC. BOJONEGORO"
"1833","POSPAUD UPOYO SEHAT","PACUL PERMAI RT.19 RW.03","PACUL","KEC. BOJONEGORO"
"1834","POS PAUD SEDAP MALAM","JALAN SAWUNGGALING NO.105","KARANG PACAR","KEC. BOJONEGORO"
"1835","POS PAUD TERATAI","JL MT HARYONO","JETAK","KEC. BOJONEGORO"
"1836","TAAM NURUL FALAH","KELURAHAN KARANGPACAR KEC BOJONEGORO","KARANG PACAR","KEC. BOJONEGORO"
"1837","POS PAUD FLAMBOYAN","KELURAHAN KADIPATEN KEC BOJONEGORO","KADIPATEN","KEC. BOJONEGORO"
"1838","POS PAUD BUNGA PERTIWI","DESA KAUMAN","KAUMAN","KEC. BOJONEGORO"
"1839","POS PAUD SEDAP MALAM IV","KELURAHAN KARANGPACAR KEC BOJONEGORO","KARANG PACAR","KEC. BOJONEGORO"
"1840","POS PAUD ANGGREK II","DESA NGOROGUNUNG KEC BUBULAN","NGOROGUNUNG","KEC. BUBULAN"
"1841","POS PAUD ANGGREK","DESA BUBULAN KEC BUBULAN","BUBULAN","KEC. BUBULAN"
"1842","POS PAUD KASIH IBU","JL. RAYA BUBULAN","BUBULAN","KEC. BUBULAN"
"1843","POS PAUD MELATI","DESA BUBULAN KEC BUBULAN","BUBULAN","KEC. BUBULAN"
"1844","POS PAUD SRIKANDI","DESA CANCUNG","CANCUNG","KEC. BUBULAN"
"1845","POS PAUD NUSA INDAH","JL. RAYA CLEBUNG","CLEBUNG","KEC. BUBULAN"
"1846","POS PAUD KENANGA","DESA CANCUNG","CANCUNG","KEC. BUBULAN"
"1847","POS PAUD KAMBOJA","DESA CLEBUNG","BUBULAN","KEC. BUBULAN"
"1848","POS PAUD ANGGREK","DS. NGOROGUNUNG","NGOROGUNUNG","KEC. BUBULAN"
"1849","POS PAUD KAMBOJA","DESA BUBULAN KEC BUBULAN","CLEBUNG","KEC. BUBULAN"
"1850","POS PAUD DELIMA","JL. RAYA BUBULAN","CANCUNG","KEC. BUBULAN"
"1851","POS PAUD KAMBOJA","JL. RAYA SUMBERBENDO","SUMBER BENDO","KEC. BUBULAN"
"1852","POS PAUD SETYORINI","DESA NGOROGUNUNG KEC BUBULAN","NGOROGUNUNG","KEC. BUBULAN"
"1853","POS PAUD DAHLIA","DESA CANCUNG KEC BUBULAN","CANCUNG","KEC. BUBULAN"
"1854","POS PAUD LYLY I","JL.HARYO MENTAHUN","NGUMPAKDALEM","KEC. DANDER"
"1855","POS PAUD ANGGREK 1","JALAN PARKIT","SUMBER AGUNG","KEC. DANDER"
"1856","POS PAUD PKK SENDANGREJO","DESA SENDANGREJO","SUMBER ARUM","KEC. DANDER"
"1857","POS PAUD MELATI","RT 16 RW 02","NGUMPAKDALEM","KEC. DANDER"
"1858","POS PAUD KAMBOJA II","DESA KARANGSONO","NGUMPAKDALEM","KEC. DANDER"
"1859","POS PAUD KENANGA I","DESA NGABLAK","SUMBER ARUM","KEC. DANDER"
"1860","POS PAUD DAHLIA","DUKUH KRAJAN","NGRASEH","KEC. DANDER"
"1861","POS PAUD KASIH IBU","DS SUMODIKARAN RT 4 RW 1","NGUNUT","KEC. DANDER"
"1862","POS PAUD MAWAR","DESA NGULANAN DUKUH CUMPLENG RT 07 RW 02 DANDER BO","SUMBER TLASEH","KEC. DANDER"
"1863","POS PAUD KENANGA 3","DUSUN SENDANGREJO BALONG RT. 18 RW. 02","GROWOK","KEC. DANDER"
"1864","POS PAUD PKK MOJORANU","JL.RANDU KENTONG II 418 RT 04/RW 04","KARANGSONO","KEC. DANDER"
"1865","POS PAUD ANGGREK","JL. DESA SUMBERAGUNG","KARANGSONO","KEC. DANDER"
"1866","POS PAUD CEMPAKA","DS NGUNUT","SUMODIKARAN","KEC. DANDER"
"1867","POS PAUD MELATI","DESA JATIBLIMBING","SENDANGREJO","KEC. DANDER"
"1868","POS PAUD FLAMBOYAN","DS. GROWOK","NGABLAK","KEC. DANDER"
"1869","TAPAS PLUS AL-HIKMAH","DS. NGABLAK RT. 13 RW. 2","MOJORANU","KEC. DANDER"
"1870","POS PAUD ANGGREK V","DESA NGUMPAK DALEM","NGULANAN","KEC. DANDER"
"1871","POS PAUD BOUGENVILLE","DS. NGRASEH","DANDER","KEC. DANDER"
"1872","POS PAUD AL-FALAH","JL. KHR. MOCH ROSYID","KUNCI","KEC. DANDER"
"1873","POS PAUD KAMBOJA","DESA KARANGSONO RT. 20 RW. 07","JATIBLIMBING","KEC. DANDER"
"1874","POS PAUD SEDAP MALAM II","DK. NGLONGGONG DESA SUMBER AGUNG","MOJORANU","KEC. DANDER"
"1875","POS PAUD MAWAR","JALAN KAYANGAN API RT. 22 RW. 02 DESA DANDER","SENDANGREJO","KEC. DANDER"
"1876","POS PAUD ANGGREK","DESA SUMBERARUM","SUMBER AGUNG","KEC. DANDER"
"1877","POS PAUD SEDAP MALAM III","DESA SUMBER AGUNG","SUMBER AGUNG","KEC. DANDER"
"1878","POS PAUD ARUM CERIA","JL.KANDANG GEDE NO.77","NGRASEH","KEC. DANDER"
"1879","TAAM QOLBIS SALIM","JL.RAYA SUMBERARUM","NGABLAK","KEC. DANDER"
"1880","TAPAS TARBIYATUL ULUM","JL. SINGOSARIM RT 01/RW 01/DSN. NGRAWAN","NGRASEH","KEC. DANDER"
"1881","POS PAUD RUMAH BELAJAR MANDIRI","SUMUR PANDAN","GAYAM","KEC. GAYAM"
"1882","POS PAUD AL-HUBBY","KEBUNTURI","KATUR","KEC. GAYAM"
"1883","POS PAUD MEKAR SARI","MASJID RT 04 RW.02","GAYAM","KEC. GAYAM"
"1884","POS PAUD CEMPAKA ILMU","MANUKAN","MANUKAN","KEC. GAYAM"
"1885","POS PAUD BOGENVILE 1","RAMBITAN","MOJODELIK","KEC. GAYAM"
"1886","POS PAUD KARTINI","RT. 08 RW. 02 DS. BRABOWAN KEC. GAYAM KAB. BOJONEG","BRABOWAN","KEC. GAYAM"
"1887","POS PAUD MAWAR II","KATUR","KATUR","KEC. GAYAM"
"1888","POS PAUD ANGGREK","NGRAHO","NGRAHO","KEC. GAYAM"
"1889","POS PAUD MAWAR","BEGADON","BEGADON","KEC. GAYAM"
"1890","POS PAUD BOUGENFILE","DS. SUDU","SUDU","KEC. GAYAM"
"1891","POS PAUD MAWAR II","DESA GAYAM","GAYAM","KEC. GAYAM"
"1892","POS PAUD AL-KHOIR","GAYAM","GAYAM","KEC. GAYAM"
"1893","POS PAUD SARTIKA","BONOREJO","BONOREJO","KEC. GAYAM"
"1894","POS PAUD ASOKA","ASEM BAKOL","CENGUNGKLUNG","KEC. GAYAM"
"1895","POS PAUD FLAMBOYAN II","DESA BEGED","BEGED","KEC. GAYAM"
"1896","POS PAUD MAWAR III","DS. KATUR","KATUR","KEC. GAYAM"
"1897","POS PAUD GARDEN","KATUR","KATUR","KEC. GAYAM"
"1898","POS PAUD FLAMBOYAN","MORODADI","BEGED","KEC. GAYAM"
"1899","POS PAUD BUGENVILE IV","MOJODELIK","MOJODELIK","KEC. GAYAM"
"1900","POS PAUD MAWAR IV","K. YASIR","SENGATEN","KEC. GONDANG"
"1901","POS PAUD ARUMDHANI","BLURU","PRAGELAN","KEC. GONDANG"
"1902","POS PAUD KENANGA INDAH","DK. KENONGO REJO","SAMBONGREJO","KEC. GONDANG"
"1903","POS PAUD MAWAR V","DUSUN GURDO","SENGATEN","KEC. GONDANG"
"1904","POS PAUD KUSUMA BANGSA","RAYA BOJONEGORO NGANJUK","PAJENG","KEC. GONDANG"
"1905","POS PAUD SEKAR ARUM II","DUSUN TENGARING","KRONDONAN","KEC. GONDANG"
